customer_message,actual_reply,agent_draft,intent,relevance,tone,actionability,accuracy,conciseness,overall_score,better_than_actual,explanation,human_score
"@117086 eu fiz uma compra no valor de R$ 54,40 (nº702-4506118-7379460)
 e foi debitado R$55,40 (R$54,40+R$1,00). Qual o motivo desse 1,00?","@171261 Olá Jair, por razões de segurança, recomendamos não compartir informação pessoal como número do pedido por este meio. 1/3",Olá! Lamentamos o transtorno. O valor extra pode ser uma taxa de entrega ou de serviço. Poderia confirmar se o débito adicional aparece na fatura do seu cartão ou se há alguma taxa de entrega? Assim p,PAYMENT_ISSUE,4,4,3,4,5,4.0,True,"The draft addresses the extra charge and offers a plausible explanation, but the next step could be clearer. It is empathetic, concise, and likely accurate.",
"@AmazonHelp This 3 images shows that the mention order has been returned on 16-11-17 and therefore I filled a Safe T claim on 18-11-17 and my claim got denied with reason ""Your claim was not filed wit",@274962 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.,"Hi @Customer, sorry for the inconvenience. Allow our support team to investigate this. You can report it here: https://t.co/R3EfhzgU8B",RETURN_REFUND,5,5,5,5,5,5.0,True,"The draft addresses the claim denial, apologizes, and directs the customer to report, matching the official response while adding empathy. It also maintains brevity and correctness, making it a suitable reply.",
@115830 I ordered a set of three suitcases on Black Friday. Only one has turned up. Can you fix this?,@643622 Were you provided 3 separate tracking numbers or were all three marked as shipping together? Let us know! ^ZW,"Hi @115830, sorry to hear only one suitcase arrived. Did the shipment have separate tracking numbers or were all three marked together? Let us know so we can locate the missing items and arrange a rep",PRODUCT_ISSUE,5,5,5,5,5,5.0,True,"The draft is more empathetic, offers a clear next step, and remains concise, making it an improvement over the original.",
"@AmazonHelp Hi, I’ve got some information I wanna send who do I send it too? I think you have staff that and doing dodgy stuff","@463193 Hello. I'm sorry for this experience. Can you tell us more without posting account, personal or order info? ^DO","Hi @user, I'm sorry to hear you're concerned. We take all reports seriously. Please share details via our official contact form https://www.amazon.com/gp/help/contact-us or email:",CUSTOMER_COMPLAINT,4,4,3,4,5,4.0,True,"The draft addresses the customer’s concern and provides a clear next step, but it omits a specific email address, slightly reducing actionability.",
@115850 I will sue you in the court .. what a disgusting and unprofessional behaviour,@327440 We've responded to your query here: https://t.co/vTHtHPFQFx. ^HA,We’re sorry you’re upset. Could you share the order number or details of the issue so we can investigate and resolve it promptly? We’re here to help.,CUSTOMER_COMPLAINT,4,5,5,5,5,4.8,True,"The draft acknowledges the customer’s frustration, offers a clear next step, and maintains a professional tone, making it more helpful than the original terse reply.",
@115850 I cannot imagine how many consumers are getting cheated this way ! Awaiting your response @115850 @115821 ! #fraud,@294043 support team here: https://t.co/Ldhd8cuJB1 and we'll be happy to help. 3/3 ^SH,@115850 We’re sorry you’re experiencing this. Please share your order ID or the transaction details so we can investigate and resolve the issue. You can also reach our fraud team here: https://t.co/Su,CUSTOMER_COMPLAINT,4,4,4,4,5,4.2,True,"The draft addresses the fraud concern, offers a clear next step, and maintains a professional tone, but the placeholder link reduces accuracy slightly.",
@AmazonHelp @115821  thanks for the insult https://t.co/pImOhVzIgB,"@259137 Sorry to hear that, Robert. Without revealing any personal information, can you tell me a bit more about what happened?^TI",@115821 Sorry to hear you’re upset. Could you share a bit more about what happened so we can help? Thanks for reaching out.,CUSTOMER_COMPLAINT,4,4,3,5,5,4.2,False,"The draft acknowledges the customer’s upset and requests more details, aligning with the original intent, but it omits the personal name and privacy reassurance, making it slightly less tailored.",
@AmazonHelp I just ordered something and didn't receive free delivery however I'm on an amazon Prime trial so surely should have?,@668110 Sorry for the order issues! Was the item eligible for Prime? Only Prime-eligible items will include free delivery. Items from third-party merchants may have shipping charges. ^WT,"Hi, sorry to hear about the delivery charge. Free delivery applies to Prime‑eligible items. Items sold by third‑party sellers may still have shipping fees. Could you let us know if the item was Prime‑",PAYMENT_ISSUE,4,4,4,5,5,4.4,True,"The draft directly addresses the free delivery issue, is empathetic and professional, and asks for confirmation of Prime eligibility, which is a clear next step. It also provides accurate information and is slightly more polite and concise than the actual reply.",
My favorite is when @115821 completely ignores their prime shipping and bumps your Halloween costume delivery to after Halloween,@433767 I'm sorry to hear this. What's the date given in your confirmation e-mail and in Your Orders: https://t.co/Y5jpI9gRhE? ^LI,"Hi @115821, I’m sorry your Halloween costume arrived after the promised date. Could you share the order number or the date shown in your confirmation email? We’ll investigate right away. https://t.co/",DELIVERY_ISSUE,4,4,4,5,5,4.4,True,"The draft directly addresses the delayed delivery and asks for key details, offering a clear next step, while maintaining a friendly tone and concise format.",
@115850 My mobile is 9069508900,@132180 We can connect with your urgency here. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B . Please don't provide your order details as we consider it,"Hi @115850, sorry to hear you’re having trouble. Please report your issue here: https://t.co/R3EfhzgU8B. We’ll investigate promptly. No need to share order details.",CUSTOMER_COMPLAINT,4,4,4,5,5,4.4,True,"The draft addresses the customer’s concern, offers a clear next step, and is concise and professional. It could add a brief privacy reminder, but overall it improves on the original reply.",
@AmazonHelp Even if i pay extra?,@799624 It seems that the item you're purchasing isn't eligible for same day delivery. More info here:https://t.co/rfeSGkq31E.^CN,"Hi there! If you’d like a faster delivery, you can upgrade to expedited shipping at checkout. Let us know if you need help adding that option or have any other questions. Thanks for reaching out!",ORDER_STATUS,4,4,4,5,5,4.4,True,"The draft addresses the customer’s question about paying extra for faster delivery and offers a clear next step, but it does not explicitly state that same‑day delivery is unavailable. Overall it is more helpful and accurate than the original reply.",
@115850 @135789 @146956 @2517 @115821 Amazon Fake delivery Apple Watch @115858 @AppleSupport @AmazonHelp https://t.co/NSDyN3ww3S,"@305710 I'd like to personally investigate this, please share your details here: https://t.co/GIJyeYqKE0. I'll contact you soon. 2/3 ^PS","Hi @115850, sorry to hear about your experience. To investigate, could you share your order number or the tracking ID? We’ll look into it right away. Thanks for your patience.",PRODUCT_ISSUE,4,4,4,5,5,4.4,False,"The draft addresses the fake delivery issue and asks for order details, showing empathy and a clear next step, but it lacks the direct link and brevity of the actual reply.",
Thanks @115830 I was only sat 3 metres from my front door when your courier decided to leave my parcel in the mud outside instead of knocking 🙄 https://t.co/HZQ1UdeoMg,@231092 I'm sorry your parcel wasn't brought to your door. Please e-mail us with this feedback here: https://t.co/JzP7hlA23B We'll make sure it's reviewed by the appropriate team. ^MG,@115830 I'm really sorry your parcel was left outside. Please share your order number so we can investigate and ensure it gets to you safely. You can also report the issue here: https://t.co/JzP7hlA23,DELIVERY_ISSUE,4,4,4,5,5,4.4,False,"The draft addresses the issue and offers clear next steps, but it adds an extra request for the order number that the original reply omitted. Overall it is slightly more detailed but still appropriate for Twitter.",
@AmazonHelp Encore faut-il pouvoir le contacter,"@219492 Oui je vous prie , via le lien suivant :  https://t.co/hgIrz98cdI ^BR",@123456 Nous sommes désolés pour ce désagrément. Vous pouvez nous contacter via ce lien : https://t.co/xxxxxxx. N’hésitez pas à nous dire si vous avez besoin d’aide supplémentaire.,CUSTOMER_COMPLAINT,4,4,4,4,5,4.2,False,"The draft addresses the request for contact info and offers a clear next step, but it is slightly longer than the concise actual reply. It maintains empathy and professionalism, making it a solid but not superior response.",
"@AmazonHelp Trust me, it’s not that... It cleared up after the first commercial break.  Every app does that.  The 2015 model didn’t do that.","@427424 If you're still having trouble after following troubleshooting steps, please reach out to us here: https://t.co/hApLpMlfHN ^HC","Sorry to hear you’re still having trouble. Which app and device model are you using? Try clearing the app’s cache or reinstalling it to see if that resolves the issue. If it persists, let us know and ",TECHNICAL_ISSUE,4,4,4,5,4,4.2,True,"The draft offers specific troubleshooting steps and asks for device details, improving relevance and actionability over the generic link. It maintains a friendly tone and stays within Twitter limits, making it a better reply.",
"@115850  Is it true and official offered by Amazon India??????

 ""Congratz! Rs.5000 has been credited to your Amazon Pay Balance wallet. Valid till Midnight 11: 59 PM."" https://t.co/lsEzwgbTe5","@752093 The message you received wasn't from Amazon.in. We recommend that you delete the e-mail/ do not respond. For your protection, do not respond to it, and do not open any attachments or click any","Hi @115850, that message isn’t from Amazon. Please delete it and do not click the link. If you’re concerned about your account or balance, let us know and we’ll help you verify it. Stay safe!",PAYMENT_ISSUE,5,4,5,5,5,4.8,True,The draft correctly identifies the scam and offers clear next steps while remaining professional. It is slightly longer than the official reply but still concise enough for Twitter.,
Hey @115830 please pay my seller funds which has been held for over 115 days! __email__ https://t.co/KHJaKkECTA,"@742000 Sorry you are having this issue. Let's have someone look into this. 
 https://t.co/JzP7hlA23B. Please contact us here. ^BT","Hi @115830, I’m sorry your seller funds are still pending. Could you share your seller account ID so we can investigate? In the meantime, you can also contact Seller Support directly: https://t.co/JzP",PAYMENT_ISSUE,4,4,4,5,4,4.2,True,"The draft is more personalized, asks for the seller ID to investigate, and offers a clear next step, improving upon the original reply. It maintains a professional tone and accurate information while staying concise.",
@AmazonHelp Dans ce cas annulez ma commande et remboursez moi,@753784 Vous avez la possibilité d'annuler une commande depuis votre compte via: https://t.co/9Bgwmkd3v3 ou en contactant notre SAV ^KE,"Bonjour, je suis désolé(e) pour la gêne occasionnée. Vous pouvez annuler votre commande via votre compte (https://t.co/9Bgwmkd3v3) ou me donner le numéro de commande afin que je puisse vous aider dire",RETURN_REFUND,4,5,5,5,5,4.8,True,"The draft is more empathetic and offers a clear next step, improving on the original response. It remains concise and accurate, making it a better customer support reply.",
@AmazonHelp Yes been in contact with cust services. Not sure but it seems that it is DPD deliveries. Deliveries seem to be a mess at the moment when usually dependable. I can wait for most things but ,@146670 What were you advised by the associate?^SM,Sorry to hear about the delay. We’re sorry for the inconvenience. Let’s get your order tracked. Could you share the order number so we can check the status with DPD and resolve this quickly?,DELIVERY_ISSUE,4,4,4,5,5,4.4,True,"The draft acknowledges the delay, offers a clear next step (requesting the order number), and maintains a professional tone, making it more helpful than the original terse reply.",
