conversation_id,customer_tweet_id,customer_message,customer_author,brand_tweet_id,brand_reply
,109807,"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",140383,109809,@140383 Sentimos los inconvenientes con esta situación. ¿Podrías indicarnos si los productos son vendidos directamente por Amazon o si han sido vendidos por un vendedor externo?  ^PC
,1252203,"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602",413738,1252201,@413738 Apologies for the delay. May I know if you've reported this to our support team? ^EM
,2804319,@AmazonHelp 毎週お世話になってます🙏🙏,782199,2804321,@782199 これからもよろしくお願いいたします！！🙏🙏🙏✨✨
,2608096,"@AmazonHelp No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv",737745,2608098,@737745 Have you checked for software/firmware updates? Other troubleshooting steps can be found here: https://t.co/FWB4Swd4IW ^AM
,2830675,"Pre-orders are all well and good, @115830, but not when you immediately go out of stock of that item... and then won’t allow the order to be cancelled! https://t.co/lwpqSPVHGb",788217,2830673,"@788217 HI, I'm sorry to hear of this. Could you try another browser and let us know if you encounter the same issue? ^KI"
,2470068,@AmazonHelp Please find all details of order no. 405-3693108-4127531.,706547,2470067,@706547 We'll not be able to check your information over Twitter. We'd like to know more about  this. Kindly share your details here: https://t.co/beaaDm0muc . Please don't provide your order details as we consider it to be personal info. Our page is visible to the public. ^GK
,1477275,"@AmazonHelp The advisor said it was a duplicated order and they'd resolve it, but it's still showing ... https://t.co/ilOLeYn8J7",182725,1477277,"@182725 Thanks for the update. To confirm that this has been resolved, please contact us here: https://t.co/bDe2KyL3RU ^SE"
,62415,@117086 EU TE VENEROOOOOO MEUS LIVROS JÁ CHEGARAM SCRR,130298,62414,"@130298 Oi verô, que felicidade! 😍 Quais livros você comprou? ^AZ"
,547962,@115851 @115821 Amanda in your leadership team in your Oregon call center cost you a customer. Everything is canceled. Great Job Amazon!,147716,547961,"@147716 Eric, I'm sorry for the experience you've had and we want to help! Would you please give us the details of what happened? Also, please refrain from providing personal or account details. ^MW"
,2529310,"@116618 can you please let us buffer the video? I let the web page open for an hour, hoping the little HD icon would light up, in vain. I don't wanna watch content in 360p under the pretense that my internet connection is too slow for 1080p stream without buffer.",720103,2529309,"@720103 Thanks for reaching out. We're here to help! Have you tried the troubleshooting steps listed here: https://t.co/HePT2g8air 

-Susan T."
,1668879,@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou começa a vender o Firestick por aqui também.,508184,1668878,"@508184 Ricardo, ainda não temos previsão mas suas sugestões nos ajudarão a melhorar nossa loja ^VL"
,2671599,"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122",120032,2671601,@120032 Thanks for the heads-up! Did you happen to share your preference on the link provided earlier? (1/2)
,1243790,@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD,411802,1243788,@411802 You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here: https://t.co/muPVkgX9JY ^WT
,2884194,@AmazonHelp I guess you asking me wasn't to actually help me. Maybe it was just to make the appearance of helping me?,800073,2884196,"@800073 Unfortunately we do not have access to your account or details via Twitter, but we'd still like to help! Please reach out to us here: https://t.co/JzP7hlA23B so we can look into this together.  -Shal C."
,2922466,@AmazonHelp (ಠ_ಠ) Didnt realize your couriers needed reminders about basic fire safety.,808782,2922468,@808782 Please contact us here via phone or chat so we can look into this with you: https://t.co/dNXwBZPiM6 ^GG
,1613582,"@115850 Need help, with the status on two refunds. Been a month already since I sent the shipment back. Thanks.",495001,1613579,"@495001 Did you happen to report this to our support team? If not, do report it here: https://t.co/vlvfJr4nN9 (2/2) ^GD"
,2718032,"@ AmazonFR paid for 22 quantities of VR Headset received confirmation, but only 1 delivered",762842,2718031,"@762842 Hello, sorry for that. Since we don't have access to your account from Twitter, please reach our CS in order to check that for you.
^ARC"
,2132832,"@AmazonHelp Says looks like it's lost, check the the options below. But there aren't any!",627582,2132830,@627582 Oh dear! We are here to help! What options do you see? ^AD
,2317797,割と長い期間Amazonのプライム会員だけど、本の読み放題あるの今知った。,671966,2317795,@671966 Amazonプライムをご利用いただき、ありがとうございます。様々な特典がございますので、ぜひご活用ください！ https://t.co/k5lbncHlKO EK
,1416745,@AmazonHelp But can not understand the cause of delay,393025,1416746,@393025 Kindly revert to the correspondence which you have received from us and we will assist you further. ^SM
,2511569,When nothing you’ve ordered on #AmazonPrime in the past month has actually arrived in two-days. Am I seriously the only one? @115821 https://t.co/Jy0Bin02Cr,715852,2511567,"@715852 This isn't what we like to hear! Just to confirm, are the orders missing the delivery dates provided: https://t.co/Y5jpI9gRhE?  ^EP"
,2816293,@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I don’t want a return just a new cord. https://t.co/UbEAakQCcI,547100,2816291,@547100 So sorry for the trouble! We're here to help! Have you had the chance to look into available options here: https://t.co/eVeMpO7mHH? ^VB
,2678794,@AmazonHelp Dans ce cas annulez ma commande et remboursez moi,753784,2678795,@753784 Vous avez la possibilité d'annuler une commande depuis votre compte via: https://t.co/9Bgwmkd3v3 ou en contactant notre SAV ^KE
,1189739,"@AmazonHelp @115850 Can I know why the pickup is cancelled??
I am done with this bullshit despite you guys apologizing for yesterday's behavior.
Call me. https://t.co/l6JqgynyH0",120780,1189741,"@120780 As this is a social media platform, we can't view your order details. Please share your (1/2)^HR"
,2891947,@115821 I need help! I scanned a $50 gift card on my phone 11/23 and it’s not noted on my account. I noticed yesterday when I went to make a purchase. I sent emails and to no avail. Please help.,801640,2891945,@801640 I'm sorry about the trouble with the Gift Card. We're happy to look into this. Please contact us by phone/chat for real-time help here: https://t.co/hApLpMlfHN ^LI
,386478,"@115850 @AmazonHelp @115821 - Order# 408-3265294-3245900,I haven't recevied my product yet, nobody is giving the date ,i am a prime member",207490,386477,@207490 as we consider it to be personal info. Our Twitter page is public. (3/3) ^ST
,1774116,@AmazonHelp I have shared the required details. Please resolve the issue ASAP,533178,1774117,@533178 We have received your details. We'll work on it and get back to you with an update. ^SB
,1009206,"@AmazonHelp Just spoke with your representative and found him 'rude' which is 'silly', and never expected this from the professionals like u @115850",344471,1009208,@344471 The resolution we provide is the best possible solution. I'm afraid (1/2)^HR
,1572817,"@AmazonHelp Hello Team, Return order request has not been done yet. Please help. Urgent..",214881,1572815,@214881 Apologies for any trouble. Have you tried reporting this to our support team here: https://t.co/2t6DQoUmNZ ? ^AB
,2355264,"So if you lost my #kindle how exactly was it returned @115821, Also why do you think my home is a business. Also, why did you say I was closed because today is a holiday? Do I owe myself holiday pay? #Curious https://t.co/ig2otyw5Lw",680444,2355263,@680444 I'm sorry to see it was returned. We'd be happy to look into this with you here: https://t.co/EKXRLsnxJu ^AF
,2220064,"@AmazonHelp Haven't received yet? I guess I have to cancel this order. I have to give to a friend who is leaving tomorrow morning. If its not delivered today, I would be forced to cancel this order.",648464,2220063,@648464 I've checked and we haven't received your details yet to work on this. Please fill in your details in the link provided earlier and let us know. We'll check and reach out to you accordingly. ^VN
,561656,@AmazonHelp It was amazon. AMZL US,251434,561657,@251434 We want to investigate this further with you. Please reach out to us using this secure link: https://t.co/Qzpl2PoJVc ^GR
,1712586,If @115821 leaves another one of my packages outside unattended I’m going to stop ordering from them @AmazonHelp,518727,1712584,"@518727 I understand your concern, Michael. Is there a specific carrier you're having issues with regarding delivery? ^SK"
,970283,"@AmazonHelp I will never advise any of my known people to buy a single thing from Amazon. Even it's offered for free. Really absurd, arrogant attitude.",350255,970285,@350255 placing an order. Request you to wait until the time frame mentioned for the order. (2/2) ^GK
,2402381,"@AmazonHelp it was DPD I’ve had pantry boxes before always secure, I’ll need to reorder but I’m not paying delivery again",691158,2402382,@691158 I can certainly understand that. Please reach out to us with the link provided  by ^NC  and we will do our best to help. ^CR
,752409,@AmazonHelp This came up so I emailed the email address on the website to send proof and that is what failed to send https://t.co/bWem9XFFQm,299829,752411,"@299829 Ahhh, I see. Definitely interesting! What happened when you clicked the ""Click here"" hyperlink? ^SA"
,2329608,@AmazonHelp Also promised a refund for missing order but no email confirmation yet,674517,2329610,"@674517 I understand your concern. Could you tell us which website your order was placed on? (.com, .co.uk, .com.br, etc.) ^GM"
,2708442,Amazonプライムにも入会してしまったのでますます視聴がおっつかない,760575,2708441,@760575 ご登録いただきありがとうございました(*'▽') EK
,723279,@AmazonHelp No. it just diappears.,293194,723280,"@293194 We don't have a notification for the shopping list. If you place an order with unavailable items, you'll receive an e-mail. ^AC"
,888415,@AmazonHelp I appreciate your response. We posted the same on your page just to bring it in to your notice and swift action only as we are frustrated enough by the system,330936,888416,"@330936 We'd like to take closer look at this. Kindly fill in your details here: https://t.co/GIJyeYqKE0, and I'll look into it. ^NR"
,2240674,"@AmazonHelp thank u amazon not to deliver my product on time.
Again missed delivery date",183935,2240673,@183935 That was definitely not intended and we apologize for the delay. Allow our support team to make things right for you. You can report this here: https://t.co/R3EfhzgU8B ^CB.
,505782,@AmazonHelp Vendido x Amazon EU,236022,505784,"@236022 Comprendo, Clemente. Para logar revisar lo que está sucediendo con la entrega de tu pedido, puedes contactar a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/OjvUxwnzPe. ^AA"
,120273,Thanks to @116935 for an easy-to-use and fast-connection iOS App! #BehindTheSmile,142702,120272,@142702 You're welcome! We love hearing your feedback. You made our day!!! 🎹🎶🎸 ^JN
,2212009,"@117795 really don't like when your couriers lie about accessing my location that has no security gate.  My son has allergies, I order his food from you.  Now he has to wait bc your courier doesn't know how to Google map. Or call us if lost. Thx",646513,2212007,@646513 I'm sorry you haven't received your order. We'd like to look into this with you. Please send more details here: https://t.co/CnmHsc1aqB ^CL
,320882,@AmazonHelp @115850 trimmer and bedsheet means the same ! I can keep the bedsheet if it's a Diwali gift but send me the trimmer I had ordered ASAP. https://t.co/KbQKMv8sxX,192448,320884,"@192448 That's wishful thinking, isn't it? We'd want you to have your trimmer, hope you've requested a replacement for your order? ^JC"
,535083,@AmazonHelp 人工知能と疑ってすみませんでした。丁寧なリプライ心に響きました。遅い時間までお疲れ様です。頑張ってください。,243946,535085,"@243946 とんでもないことです！いつもAmazonをご覧いただきありがとうございます🙇　サイバーマンデーをお楽しみにしていただき、うれしく思っております。ぜひご期待くださいませ😊
夜分にリプライを失礼いたしました。HM"
,814214,@115850 Surprised that @118702 @122951 delivers every product in 620024 but you don't,313935,814213,"@313935 We certainly don't want to let down our customers, I'll ensure to pass your feedback internally ^SM (1/2)"
,281979,@AmazonHelp Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,183175,281981,@183175 Apologies for the inconvenience. Request you to get in touch with our support team here : https://t.co/TdDksLo6Mf.^SK
,2870730,Way to go @115821 for just throwing my stuff in a box with no packing material and with everything out of the wrappers. #goodjob https://t.co/lVMo6vFahI,797126,2870728,@797126 We're always looking for ways to improve! Packaging feedback can be submitted to our shipping team here: https://t.co/2AGESmC8t0 ^ML
,384166,@AmazonHelp Pl tell me delivery date,185376,384167,@185376 We've sent you a correspondence here: https://t.co/ubzNHWZvL2 Kindly check. ^SG
,1283798,@AmazonHelp Una ayer y hoy mismo he puesto otra.,210099,1283800,@210099 ¿Qué te informaron nuestros compañeros de Servicio al Cliente? ^HC
,300502,@AmazonHelp already been on the phone to customer support still fuming with you cancelling my prime membership disgusting behaviour,187547,300500,"@187547 Thanks for confirming. When you spoke to us, what options/information did we provide? ^BH"
,2679227,@AmazonHelp não,624553,2679228,"@624553 Entendi. No caso, Rosa, ficamos no aguardo dos seus dados. ^LG"
,1434066,"@123813 existe mes de prueba? La competencia es pésima, pero dicen que ""más vale malo conocido...""",452965,1434067,"@452965 Hola Oscar. Inscribiéndote al período de prueba gratis de Amazon Prime, puedes disfrutar de Prime Video, pues este es un (1/2)"
,490547,@115821 why is the Alexa app moving so slow today ?,231857,490546,@231857 Have you checked your connection and perhaps turned your device off and on again to see if that helps? ^BD
,1558898,i'm crying my amazon package was supposed to arrive at 9 and it's def 9:20,481768,1558897,@481768 I'm sorry for the wait! Will you tell us which carrier is shown for your order here: https://t.co/Y5jpI9gRhE? ^DW
,348953,@AmazonHelp Like I mentioned in my first tweet I was assured and sent an email confirmation but still I keep receiving the product every 2 months. Not sure if its a bug in your systems that my order is not getting updated,199061,348955,"@199061 Sorry to hear that, please contact us by phone or chat once more here: https://t.co/hApLpM3Ejd to discuss this with an agent.^JJ"
,1869767,"@AmazonHelp My card was already charged, but the status says ""shipping soon"". I am concerned that if my order hasn't even been shipped, then how will it be delivered by the date Amazon sets? But I will wait until the 10th to see if my order gets home.",558450,1869769,"@558450 We aim to meet our delivery date. If you don't receive your package on estimated delivery date, please get back to us. ^LH"
,973570,"@115851 @AmazonHelp Why is @115850 promoting and selling spurious/counterfeit items? No answer to queries to them. Does Amazon encourage selling counterfeits? In India, this is illegal. https://t.co/9eXMnsrn99",126724,973569,@126724 received a below par product or doubt the genuineness we suggest you to fill details here:  https://t.co/GIJyeYqKE0. (2/2) ^GS
,1445350,You pay for an Amazon Prime membership and this is where your packages are left whilst you’re at work 😤 #NotImpressed @115830 https://t.co/UEvbve6G0I,455397,1445348,@455397 I'm sorry to see the way your package was delivered! Will you confirm the carrier listed here: https://t.co/aaDyEz1VgE ^HC
,1380693,@115821 wanna tell me why the order I placed yesterday w/1-day shipping isn’t scheduled 2 arrive until Wed? GRANDDAUGHTER B-DAY &amp; u SUCK,441383,1380691,@441383 I'm sorry for the wait. Some items aren't able to ship immediately. Was the date given on the confirmation e-mail missed? ^AN
,1302305,"@115850 #AmazonNow has some rude representatives 😷
Pathetic! Send a substitute and later argue nonsense without  getting facts right!",170989,1302304,@170989 That's quite a feedback. I shall forrward your feedback to the concerned team and get it reviewed. ^HR
,990743,@AmazonHelp Again my another order with  Order ID: #405-0991980-9519516 cancelled without my concern why amazon provide offers during great indian sale?,354687,990746,"@354687 I understand your concern that your order is cancelled without your knowledge, I'd request you ^SM (1/2)"
,873862,@AmazonHelp I'm trying to watch 12 Chairs on prime but the subtitles are about a minute off to the words. Is it an issue on my end or yours,327462,873860,"@327462 Hmmm, lets work together here to find out! Have you tried uninstalling the app and re-installing it? Let us know! ^SA"
,1750492,What's the point of subscribing to @115830 Prime if it keeps failing to meet its one day delivery promise? Then being told to wait another few days for it to turn up. Rubbish.,527527,1750491,@527527 I'm sorry for the delay. We want to make sure you receive your order by your new delivery date. Please keep us posted. ^RA
,475137,@AmazonHelp A just need acces to my account why are you lot making this so hard for me,228071,475138,"@228071 We aren't able to access your account via Twitter to see what the exact issue is, but normally you should be sent an e-mail requesting either payment or address verification. Have you received an e-mail like this, or was this mentioned when we spoke on the phone? ^LB"
,546366,"@AmazonHelp Num: CR0000301163
En transit
Livraison avant 20h",247048,546367,"@247048 Si vous ne recevez pas votre colis d'ici 20 h, merci de le signaler à notre SAV afin d'y remédier je vous prie via le lien suivant: https://t.co/hgIrz98cdI ^BR"
,2571783,"@AmazonHelp @115830  Can you please quote the definition of ""Guaranteed delivery"" please?What's the point in prime if you fail to deliver?",729287,2571781,"@729287 I'm sorry to hear we've let you down, Hardeep! Does tracking show the parcel is out for delivery? Have we missed our mark? ^CS"
,1043021,@AmazonHelp Could I get a message please? I’ve got a complaint to make,366643,1043020,@366643 Hi Ant. You can get in touch with us to lodge your complaint via this link: https://t.co/JzP7hlA23B ^DC
,1710386,@AmazonHelp See line extra 3000 off on this mobile,169186,1710389,@169186 and with time. Kindly refer the link: https://t.co/sfTQc3Ex7D for more information. (2/2) ^MO
,710630,"@115821 Today it was @81 , the gear I got yesterday was @115817",289932,711134,@289932 Have you had the time to reach out to each of the carriers and set preferences on your deliveries? ^MH
,1490162,.@AmazonHelp Pre-ordered @123473 @466085 #Slobberkocker a month ago. Now I've been told it won't be dispatched until DECEMBER! Why?,466084,1490160,"@466084 Sorry to hear this. Was a reason mentioned for the delay? Did you receive an email? Also, check your junk/spam folder. ^PK"
,422033,"@AmazonHelp Ist aktiviert, funktioniert aber nicht. Heute wieder 2x😩  Kam bisher nur 1x an, bei einer Bestellung von Amazon USA. Geht auch anderen so. 🙁",215529,422032,"@215529 Dann, wie vorgeschlagen, bitte im Kundenservice melden: https://t.co/cDHy5WiCek Liebe Grüße ^MF"
,1369958,@115850 @115850 I am expecting a quick response,438881,1369956,@438881 Please use the following link to connect with our support team : https://t.co/vlvfJr4nN9 and we'll be glad to help. ^SK
,244076,"@115850 Return pick is not as per date schedule.
Unsatisfied with Amazon service.pin394601 __email__",173981,244077,@173981 I'm sorry for the hassle. Please reach out to us at: https://t.co/vlvfJr4nN9 we'll check it for you. (1/2)^AU
,1132127,@AmazonHelp I don't think it's anything nefarious but I get constant order and shipping confirmations for things I didn't buy which is super annoying,386770,1132130,@386770 Gotcha! Reach out to us again here: https://t.co/hApLpMlfHN and we can look into this further with you. ^TK
,2593126,"Compras navideñas, listas ✔
Gracias @116875 !!",734369,2593125,"@734369 Hola, Viridiana. ¡Estamos felices de saber que has comprado tus regalos en Amazon México, muchas gracias por tu confianza! ^CB"
,922728,@AmazonHelp I've ordered through Amazon.. The product was received by the courier.. But they've said that they can't deliver to my home..,339033,922727,@___Ananth___ That's uncertain! Please report this to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll help you. ^BS
,2439667,Clients @115821 attention à l'arnaque qui tourne par mail !!! https://t.co/UgGWLuJjw1,699738,2439666,"@699738 Bonsoir, veuillez faire suivre le message à l’adresse suivante __email__ je vous prie. ^BR"
,2290432,"@AmazonHelp My recent orders aren't displaying in My Account, can you help?",665332,2290429,"@665332 Sorry to hear that, please contact us here: https://t.co/Q7Ftz6nj80 so an agent can look into this for you. ^JJ"
,975030,@AmazonHelp @115850 so any update,343355,975031,@343355 &amp; reply so that we can provide you an update. 2/2^EM
,1505374,@AmazonHelp i think amazon have just took a random £1 off me? I have no idea why,165090,1505372,"@165090 We're here to help! In most cases, a smaller amount, such as €1, is an authorization. Have you recently ordered an item? ^AL"
,841372,朝いきなりAmazon有料サイトてきたあ(＞＜)こわっいぃぃぃ https://t.co/EtCZ6oi0fU,320165,841371,@320165 失礼します。こちらは当サイトからお送りしたものではございません。AmazonからSMSで未納料金などといったメールは送信いたしません。 ヘルプページでも注意喚起を行っておりますので、ご参照ください。https://t.co/k4jy2iTq1Y RI
,575357,Hello @115821 where the heck is the cat tree I ordered for my cat’s birthday. It was supposed to be here yesterday,255380,575356,@255380 Sorry to hear it has not arrived Jenna. Does the tracking give any info on when we expect it to be delivered? You can check tracking by clicking the link: https://t.co/Y5jpI9gRhE.^BZ
,600271,@115830 really annoying Mr at this stage can't get a single issue resolved. Can I please have a contact number for customer service in Ireland,262359,600270,@262359 We definitely don't want to disappoint you. You can contact us via phone by using this link: https://t.co/JzP7hlA23B ^KB
,1306446,How’s my Thursday going? Well my amazon account got hacked and was charged $900... &amp; I’m honestly impressed bc I didn’t know I had $900,425297,1306445,@425297 I'm sorry to hear about the unexpected charge! Please call us to ensure this is reported: https://t.co/jzvkhdlrK5 ^LR
,790175,@AmazonHelp very funny..I have already contacted ur team two times but they are helpless..your delivery process sucks..order#216240052017,308429,790178,@308429 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG(1/2)
,945616,@AmazonHelp I have shared the details .please have a look.,344227,945617,@344227 Thanks for letting us know that you've shared your details. Please allow us some time and we'll reach out to you. ^KA
,318548,@115850 till now i have no confirmation about order even though guaranteed delivery !!,191577,318547,@191577 Apologies for the trouble. Please drop your details here: https://t.co/0tMJUecoz6 we'll connect with you on this. ^RB
,434588,"@AmazonHelp Amazon logestic team has arrived my house and talking roude,  that he has delivered to neibour itseems, and we don't no anyone there and",218249,434589,"@218249 That's unexpected, I'm sorry. Please respond to the email you received from the social media team, we'll look into this. ^JC"
,350259,@115850 i place 2 Order # 406-0047227-2461909 &amp; 406-9046171-0664359. I select wrong delivery address by mistake. Plz update my address,199158,350258,@199158 Our support team would be happy to help you with that. You may connect with them here: here: https://t.co/vlvfJr4nN9 ^HT
,458905,@115821 you need better customer service reps.,223983,458904,"@223983 Please be sure to leave feedback in the survey at the bottom of the e-mail sent after speaking with us. Once completed, these are sent to management for review to help with coaching opportunities. ^EP"
,900900,"これ今日2通目やねんけど
Amazonちゃうよな？
装ってるやつやんな。 https://t.co/oABRpkqJ5c",333861,900899,"@333861 当サイトからそのようなＥメールをお送りすることはございませんので、記載されているURLはクリックなさらないようお気を付けください🙏
Eメールの見分け方については、こちらをご参照ください。https://t.co/r6R7EU9RIb YM"
,397417,@AmazonHelp Una reclamación por vuestra parte.,210099,397419,"@210099 Entiendo. @210100, ¿podrían ayudarnos con esta entrega? Indícanos si no recibes respuesta, Brian. ^LG"
,1427864,"@115830 Yes, and surprisingly enough they don’t say ‘inside my bin’",383588,1427863,"@383588 When you have a moment, please phone us here: https://t.co/JzP7hlA23B to report this delivery. ^LB"
,831080,@AmazonHelp Nope. They cancelled the one that was supposed to arrive 10/7. And will try to get the next subscription order out.,317905,831081,@317905 I hope it arrives OK next time. ^KM
,2401222,@AmazonHelp It is getting increasingly annoying to figure out when a Prime item will be delivered.,690878,2401221,@690878 Sorry to hear Ilya. What delivery date were you provided? What does the latest tracking advise? ^TP
,2827266,@AmazonHelp こういう事に備えて無駄に箱が大きいと思っています。商品の箱には破損もなく、動作も問題ないようです。お気遣い有り難うございました。,787501,2827268,@787501 商品が無事だったとの事で、安心いたしました。ご不明な点がありましたら、ご遠慮なくお問い合わせください。よろしくお願いいたします。 EK
,725245,@115850 @AmazonHelp I had ordered OnePlus5 on 28th June ‘17. I still haven’t receivedcashback of Rs. 1500 (SBI card offer). Please help!!! https://t.co/227y7N6DdC,293719,725244,@293719 I'm sorry for the delay. Please report this to our support team here: https://t.co/2t6DQoUmNZ for further assistance. ^RW
,2390423,@AmazonHelp Easy set up and the ability to send messages/make phone calls with voice recognition 👍🏻 thanks @115821,688597,2390425,"@688597 Top feedback Michael, Have a great day! ^BD"
,2551968,"@AmazonHelp Nope. Just takes me to sign in page. I just won't buy anything but books/dvds anymore. They're cheap. If I can't return,no big loss.",306845,2551970,"@306845 Once you sign in using the link sent by JO, you will see the option to select the issue and how you want to contact us. ^DD"
,246378,"@AmazonHelp Gestionado por Amazon.
Vendido por: Amazon EU S.a.r.L.",174523,246380,@174523 Entra en contacto con Soporte al Cliente para reportar lo que indicas de tu pedido: https://t.co/OjvUxwnzPe. ^DA
,1209481,アマゾンで注文してた零さんのウィッグが届いていないのに配達完了になっているw零さんどこいったんですかww,403927,1209479,@403927 ご心配をおかけしております。配達完了でも商品未着の場合、下記ヘルプの内容をご確認ください。https://t.co/aABELyb8qu  解決しない場合は以下より当サイトへお問合せください。https://t.co/J6YEizo6qC  　SM
,439697,@AmazonHelp Reverted but failed. Share correct email id,215662,439698,@215662 Please revert to the email you've received from us and we'll be able to check it. Are you getting any error? ^HN
,1424282,@AmazonHelp 406-6963082-7457947 order number ! I am a prime customer and this service is really a joke,450944,1424284,@450944 Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP
,816088,"@AmazonHelp Hi. Sorry late getting back, I had an email on 22/07/17 stating that auto renew was turned off and no further payments would be taken.",314332,816086,@314332 We'd like to take a closer look at the charges and your available options. Please contact us here: https://t.co/JzP7hlA23B ^RA
,322025,@115830 I've just received an email from you saying I need click on a link to get a credit voucher. Is this spam? I can dm a copy.,192721,322024,@192721 Doesn't sound like us Tamara - pls use this link for more info : https://t.co/0SSkUeJucf  ^TD
,2391895,@AmazonHelp pls pls pls tell me you'll have music unlimited BF deals for EXISTING customers (uk),152464,2391894,@152464 Best to keep an eye on the website for the latest deals! ^MI
,179988,@AmazonHelp Can you not advise anything here?,158365,179989,@158365 Please contact our customer service by phone or chat here: https://t.co/hgIrz98cdI so we can look into this further with you. ^SA
,1748909,@120533 vous allez sortir la fire HD 10 en France ? Une date ?,527155,1748908,"@527155 Bonjour, je suis désolée, mais nous n'avons pas l'information, veuillez vérifier sur le site ultérieurement."
,2956966,"@AmazonHelp What exactly do you want me to do? That just takes me to your ""questions?"" Page… 
I don't have a question. It is a reoccurring complaint. https://t.co/Hrg68liFcR",816241,2956965,"@816241 The link provided to you by ^WT, gives you the option to contact us by phone, so we can look into this with you in real time. This gives us the opportunity to review all available options regarding your deliveries.  ^AC"
,2852110,"@116928 Buenas tardes! Tengo un producto defectuoso y no puedo contactar con el vendedor. 
Número del pedido:
 171-7713708-0461967
¿Cómo he de proceder para su reembolso o sustitución? Gracias",792979,2852109,"@792979 ¡Hola, EltSaC! Lamento los inconvenientes. Por motivos de seguridad, te recomiendo eliminar este tuit, pues contiene información de tu cuenta. ¿Seguiste las instrucciones indicadas en este enlace?: https://t.co/jFNuJZ8sjt ^CR"
