id,customer_message,brand_reply,sampling_reason,label_intent,label_confidence,label_escalate,label_escalation_reason,human_verified,human_intent,human_escalate,notes
31,".@AmazonHelp I was just told on the phone my neighborhood is ""unsafe"" so I can't have prime packages left on my porch even though I have had them delivered for almost 3 years straight. What kind of socio-economic profiling is this? Thanks for making me want to quit your service","@235765 Hello! It is unfortunate your packages were unable to be left unattended. Leaving packages unattended is left to the carriers and drivers discretion. Jen, would you mind letting us know which carrier was used? ^DA",random,CUSTOMER_COMPLAINT,0.96,True,Customer is extremely angry about delivery policy and accuses Amazon of socio‑economic profiling,True,DELIVERY_ISSUE,False,
32,@AmazonHelp Es que no se si la cague o no…,"@786127 Juanjo, ¿podrías comentarnos cuál es la situación para poder ayudarte? :) ^DQ",random,CUSTOMER_COMPLAINT,0.6,True,Message is vague and intent unclear,True,CUSTOMER_COMPLAINT,False,
33,"A smart, well-dressed man  just approached me at Mumbai airport asking for an autograph on a book he was planning to read on his flight. It was a pirated edition of #AnEraOfDarkness which he had just purchased from @115850 ! Disgraceful that @115821 is profiting from piracy https://t.co/VOVdHgrgsh","@412386 any counterfeit products, we take down the listing for appropriate investigation and undertake strictest action against the seller, if required. Customer's privacy is of paramount importance to Amazon and we work to keep customer information secure 3/4 ^AM",random,CUSTOMER_COMPLAINT,0.93,True,Allegation of piracy and fraudulent activity on marketplace,True,CUSTOMER_COMPLAINT,True,
34,@AmazonHelp USPS says it left shipping partner facility in Kenosha WI at 3:23 A.M yesterday. That was the last update.,@669570 I understand your concern. Orders can be delivered up to 8:00 PM. Let us know if we miss our promise. We're here for you! ^SK,random,ORDER_STATUS,0.96,False,,True,ORDER_STATUS,False,
35,@115850 Thank you @115850  to refund my money in 24 hours https://t.co/6CZDjtNOAt,@363468 Glad to know about that. Do keep us posted for further queries. ^AK,random,RETURN_REFUND,0.96,False,,True,RETURN_REFUND,False,
36,@AmazonHelp ?? 😬,"@348854 I'm sorry, we currently do not have a date available. We'll e-mail you with any updates if an order has been placed. ^EP",random,CUSTOMER_COMPLAINT,0.45,True,"Message is vague and lacks specific details, making the intent unclear.",True,ORDER_STATUS,False,
37,@AmazonHelp Oui si je viens ici s'est sue j'ai pas forcément eue de nouvelles,"@162521 Dans ce cas-là, pouvez-vous nous expliquer le souci davantage je vous prie ?
^KE",random,ORDER_STATUS,0.78,False,User appears to be seeking an update on their order status.,True,ORDER_STATUS,False,
38,#KaroMilkeLateDelivery is the mantra of @115850 can say it with experience. They don't delivery at commmitted time &amp; give excuses https://t.co/6I4kO0jtRL,"@183457 shared here: https://t.co/NTkrxpsbHJ and reply to the email correspondence, we'll reach out. (2/2) ^KA",random,DELIVERY_ISSUE,0.94,False,"Standard delivery complaint, no legal threat or payment dispute",True,DELIVERY_ISSUE,False,
39,"@115851 @AmazonHelp @115850 #JEFFBEZOS  have you founded amazon india to cheat and harass innocent people of India???

Why there is no action on bad behavior of customer care??

Be honest!!! Corrupt people can earn money but not respect!!!","@147113 We'll be able to take necessary actions once we receive your details via secured link. Further, we'll not be able to provide any insight until you submit the form with requested details. Appreciate your understanding. ^MJ",random,CUSTOMER_COMPLAINT,0.96,True,"Highly angry complaint alleging misconduct and harassment, may require senior review",True,CUSTOMER_COMPLAINT,True,
40,@115830 wasn't informed of my delivery plus my product was left outside in the rain! #amazon #amazonprime https://t.co/WxJjCWkqmZ,@483175 I'm so sorry about this. Have you had a chance to look into return / replacement options here: https://t.co/Me9Q4UU8et? ^GR,random,DELIVERY_ISSUE,0.96,False,"Standard delivery complaint, no legal threat or severe escalation needed",True,DELIVERY_ISSUE,False,
41,@AmazonHelp @AmazonHelp Thank u.....can i put my hopes alive for any contest on iphone’s in coming week,"@182228 Well, we always get something or other for our customers to take advantage of, keep an eye out. ^MS",random,CUSTOMER_COMPLAINT,0.6,False,Not a legal threat or urgent issue; generic inquiry not matching other intents,True,CUSTOMER_COMPLAINT,False,
42,@AmazonHelp All I want @115830 to do is to cancel this replacement and pick up the faulty item. Surely it’s not much to ask for?,@255535 Completely understand the frustration. Can you please contact us via this link: https://t.co/JzP7hlA23B. We would like to get this sorted for you. ^JC.,random,RETURN_REFUND,0.96,False,"Standard return/cancellation request, no legal threat or high anger",True,RETURN_REFUND,False,
43,"Hey @120533 @117634 Quand pourrions nous télécharger des app sur Kindle en France ??
Car j’aimerai beaucoup faire mes sudoku dessus!","@262370 Bonjour, cela est possible sur les tablettes Kindle (Fire par exemple). Par contre, l'installation d'applications n'est pas possible sur les liseuses. ^KD",random,TECHNICAL_ISSUE,0.96,False,"Not a legal threat, payment dispute, or angry complaint; standard technical question.",True,TECHNICAL_ISSUE,False,
44,@115850 Hi. One of my orders wasn't delivered but your app says it's been delivered. How do we fix this?,@787664 I'm sorry to learn about the tracking update issues; did you happen to escalate this to our support team here: https://t.co/T6y6Xlutbs? ^VN,random,DELIVERY_ISSUE,0.97,False,,True,DELIVERY_ISSUE,False,
45,being a prime subscriber pained to see no Kannada content @119625 - what is the issue to get more Kannada content ? https://t.co/s7tzmpvILn,@801899 Regional content is an integral part of our content in India. Please stay tuned as we expand our content selection. ^RB,random,TECHNICAL_ISSUE,0.93,False,Not a legal threat or severe complaint; standard technical query about content availability.,True,CUSTOMER_COMPLAINT,False,
46,@115850 What the hell is wrong with you. Learn a thing or two from your competitor @118702. you hardly ever need to call their customer support and if you do they resolve your query. On the other hand your delivery suck big time even for prime member. Up your game or gtfo.,@201404 That's quite a remark. Could you please elaborate on your concern so that we can make things right for you? ^SD,random,CUSTOMER_COMPLAINT,0.96,False,,True,DELIVERY_ISSUE,False,
47,"@AmazonHelp @116928 @130709 @132703 la ""nueva fecha de entrega"" es hoy hasta las 20:00... https://t.co/VC98Tgmh4G","@309019 Entiendo linkrvon, en caso de que no recibas tu pedido hoy a las 20:00, por favor reportalo directamente a nuestro SAC. ^AZ",random,ORDER_STATUS,0.96,False,,True,ORDER_STATUS,False,
48,"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122",@120032 Thanks for the heads-up! Did you happen to share your preference on the link provided earlier? (1/2),random,ORDER_STATUS,0.65,False,Not a legal threat or angry complaint; simple contact update request,True,TECHNICAL_ISSUE,False,
49,@AmazonHelp No I contacted just delayed 😑,@681659 Please keep us posted on the delivery. ^JF,random,ORDER_STATUS,0.86,False,"Standard delivery delay inquiry, no signs of anger or legal issues.",True,ORDER_STATUS,False,
50,Pedir que te traigan un paquete que necesita urgentemente el lunes y que aún no lo tengas demuestra la poca profesionalidad de @116928,@629831 Lamento si ha habido un retraso. ¿Cuál fecha de entrega se te indicó al hacer el pedido? ^AR,random,DELIVERY_ISSUE,0.92,False,Customer is upset about delayed delivery but no legal threat or payment dispute.,True,DELIVERY_ISSUE,False,User reports a problem with the package not being delivered in time.
51,"@AmazonHelp Mas eu estou na fase experimental, não sou cliente efetiva","@143567 No caso, a promoção está disponível somente para quem não tem usado o Kindle Unlimited. 😥 ^DA",random,CUSTOMER_COMPLAINT,0.68,False,Not a legal threat or high‑severity issue; general dissatisfaction can be handled automatically.,True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
52,"Acabo de recibir un paquete de @116928 por @4496 y en vez de llamar a la puerta,lo dejan en el borde de la ventana.Me lo explican?","@164794 Hola, lamento el inconveniente. ¿El contenido del paquete se encuentra en buen estado? ^KS",random,DELIVERY_ISSUE,0.96,False,,True,DELIVERY_ISSUE,False,llm-verified
53,"@AmazonHelp Aunque haya encontrado el problema, por favor, poned más a mano lo del chat. xD","@217270 Luzeon, sentimos las molestias con el chat, tu comentario es súper importante para mejorar nuestro servicio. Recuerda que 1/2",random,TECHNICAL_ISSUE,0.92,False,"Not a legal threat, payment dispute, or highly angry complaint; standard technical request.",True,TECHNICAL_ISSUE,False,"User requests improvement to chat functionality, a technical issue."
54,"It's midnight and an Amazon seller just challenged my claim that they fucked up my order. First of all, I anticipate everything. Second, I saved the packaging. 

Next bet: a paltry partial refund instead of the soup I desire. It's winter and I just want rehydrated soup.","@763167 Hi, I'm sorry to hear of this. If the seller has sent the wrong item you should either get a replacement or a refund. Can you let us know how they have responded without posting any personal details? ^KI",random,RETURN_REFUND,0.93,True,Customer is extremely angry about a disputed refund and claims the seller challenged their complaint.,True,RETURN_REFUND,True,fallback-to-autolabel
55,@AmazonHelp if I set up a wish list will the person be able to see my address when it’s delivered?,"@226421 The person will only select your name, not your address. You can learn about it here: https://t.co/ufSA4mQrbz ^ZW",random,TECHNICAL_ISSUE,0.96,False,"Standard technical question, no signs of anger or legal issues",True,DELIVERY_ISSUE,False,llm-verified
56,@AmazonHelp I believe it’s been resolved. Hopefully.,@423729 Fantastic! Please let us know if we can be of any further help. ^BL,random,CUSTOMER_COMPLAINT,0.62,False,Message is vague but not a clear request; no legal threat or angry tone.,True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
57,Please have a thorough look on the trail tweets. Its very upsetting. Its gonna be a nightmare experience with @115850 https://t.co/NEzMxKAuJo,"@260518 Please don't provide your contact details, we consider it to be personal information. Our page is visible to the public. (2/2) ^MO",random,CUSTOMER_COMPLAINT,0.92,False,General dissatisfaction without explicit legal threat or payment dispute,True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
58,@AmazonHelp I ordered a wedding dress back in September. It was supposed to be here by October 11. It still isn’t here and Amazon has no tracking info.,@737429 I'm really sorry to hear your dress hasn't arrived! Who is the seller/shipper for this order: https://t.co/Y5jpI9gRhE? ^SH,random,ORDER_STATUS,0.97,False,"Standard order status inquiry, no signs of anger or legal threat.",True,ORDER_STATUS,False,fallback-to-autolabel
59,Hey @115850 where is my order?? @118702 delivers in promised date what abt u??,"@322942 My sincere apologies for breaking the habit with your order delivery, that's definitely not what we want our 1/2 ^MJ",random,ORDER_STATUS,0.96,False,Not required,True,ORDER_STATUS,False,fallback-to-autolabel
60,**HELP** If I preorder something on @115830 do they take the money right away or when it gets delivered?,"@383004 Hi Julie, we charge just before dispatch. ^AT",random,PAYMENT_ISSUE,0.96,False,,True,PAYMENT_ISSUE,False,llm-verified
61,@AmazonHelp I received the hardcover book that I ordered and it is completely ripped and smashed from one side. Second time this year,@321282 I'm sorry to hear about the damages! Let's review options for refund or replacement here: https://t.co/Y5jpI9gRhE  ^SH,random,PRODUCT_ISSUE,0.97,False,,True,PRODUCT_ISSUE,False,fallback-to-autolabel
62,@AmazonHelp Yes I have reported .they replied with the message of sorry we can't help,@214975 Sorry about that. I'd like to help you. Please share your details here: https://t.co/JzRdscmdH9 ^AK (1/2),random,CUSTOMER_COMPLAINT,0.92,False,"Customer expresses dissatisfaction with support response, but no legal threat or payment dispute.",True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
63,Happy Diwali @115850,"@389465 To you as well, Uday. ^SK",random,CUSTOMER_COMPLAINT,0.6,False,"Message is a greeting, not a clear support request; no escalation needed.",True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
64,@AmazonHelp STILL no sign of this item. Seller said they'd contact Royal Mail but I've heard nothing.,@271076 Have two working days passed since you contacted the seller? ^DO,random,ORDER_STATUS,0.94,False,,True,ORDER_STATUS,False,fallback-to-autolabel
65,@AmazonHelp I don't know,@189689 The seller is listed under each item ordered on the Order page. It will show right under the title. ^KN,random,CUSTOMER_COMPLAINT,0.45,True,Message is vague and does not clearly map to a specific intent,True,CUSTOMER_COMPLAINT,True,fallback-to-autolabel
66,@115821 I purchased this earphone from your company on 23 Oct and it's not working.... https://t.co/2fGkZKR2qH,"@383297 Please don't provide your phone number, we consider it to be personal information. Our page is visible to the public. ^KA",random,PRODUCT_ISSUE,0.96,False,"Standard product defect report, no legal threat or extreme anger",True,PRODUCT_ISSUE,False,fallback-to-autolabel
67,@115850 help me to get the refund in order no 402-1224899-9111548. delivered product have manfg defects and battery drain etc issues,@192842 I'm sorry for the trouble. Please fill in your details here: https://t.co/beaaDm0muc and we'll contact you at the earliest. ^AU,random,RETURN_REFUND,0.96,False,Standard refund request with product defect details; no legal threat or high‑severity issue.,True,RETURN_REFUND,False,fallback-to-autolabel
68,@AmazonHelp Thank you however how long are they running for? As to what date not what deals. Many thanks,@340716 You can find all you need to know and more by visiting our Press Release: https://t.co/lBjIEjUoTA,random,ORDER_STATUS,0.78,False,"General inquiry about dates, not a complaint or critical issue",True,ORDER_STATUS,False,fallback-to-autolabel
69,@115850 why to you promise false discounts with wrong mrp ...the device I bought showed a mrp of 7999 when its actual mrp is 7499 https://t.co/1kqHQVHBcl,@118504 The prices on our website are determined by our sellers. And we keep updating our prices as per the data we receive 1/2 ^MK,random,CUSTOMER_COMPLAINT,0.93,False,User is dissatisfied about false discount pricing but not threatening legal action or fraud.,True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
70,@115850 Hi.. I made a purchase in August and still the cash back still not refunded... whom need to be contacted.. please guide.,@306983 I'm sorry about the pending cashback. Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll check. ^GK,random,PAYMENT_ISSUE,0.96,False,,True,PAYMENT_ISSUE,False,fallback-to-autolabel
71,"@115850 mrp shows less price and i had to pay more, what a cheating. Contact me @ 9492845878 https://t.co/z9RHyCgDW7","@255740 We understand your concern about the price difference, Kapil. the prices on our website are determined by our sellers. (1/3) ^SV",random,PAYMENT_ISSUE,0.96,True,"Customer alleges overcharge and accuses Amazon of cheating, indicating a payment dispute.",True,PAYMENT_ISSUE,True,fallback-to-autolabel
72,Wow..Got the phone from @115850 with special offer valid till 8th October.  InFocus Turbo5plus For 8499 https://t.co/K6FUKVBFDL,@158413 Glad you received your order. Thank you for keeping us posted. ^SB,random,ORDER_STATUS,0.6,False,Not a complaint or issue; closest intent is order-related,True,ORDER_STATUS,False,fallback-to-autolabel
73,@AmazonHelp When I would hear a positive response from your side.#Amazoncheat #DontshopfromAmazon @115850 @115821 @115851 @120320 @119351,@366438 Please allow us some more time and we will get back to you with an update on this. ^KS,random,CUSTOMER_COMPLAINT,0.93,True,Angry customer expressing dissatisfaction and brand criticism,True,CUSTOMER_COMPLAINT,True,fallback-to-autolabel
74,@AmazonHelp I want the pickup to be done today I can't wait for Tom u have the invoice with u with IMEI no so show them,"@158418 I understand your concern, we're right on it! Request you to kindly wait. ^AG",random,RETURN_REFUND,0.92,False,"Standard return pickup request, no signs of anger or legal issues.",True,RETURN_REFUND,False,fallback-to-autolabel
75,"@115830 Been charged £7.99 for my ""free trial"" &amp; on site it says 'Next Payment:
You will lose access to your benefits on 16 December 2017 and your card will not be charged' So y am i being charged 7.99??",@270177 I'm sorry for the unforeseen charge. Please contact us here: https://t.co/JzP7hlA23B so we can help sort this out with you. ^CO,random,PAYMENT_ISSUE,0.96,True,Customer disputes an unexpected charge for a free trial,True,PAYMENT_ISSUE,True,fallback-to-autolabel
76,@AmazonHelp I just don't understand how it's fair that I order prime item expecting next day delivery and you accept order than send email with different delivery date than next day ?,"@800539 If you choose One-Day Delivery, your order will be dispatched with the intention that it's delivered one day after dispatch, however unforeseen delays can occur. If we miss the original delivery date, we ask that you contact us for options: https://t.co/QVORJf3Bp9 ^AF",random,DELIVERY_ISSUE,0.96,False,Customer is upset about delivery date change but no legal threat or payment dispute,True,DELIVERY_ISSUE,False,fallback-to-autolabel
77,@115850 waiting for refund for order no 171-5655450-744913. The item has benn returned but not updated in site. Please process my refund.,"@352312 Also, please don't provide your order details as its personal info. Our Twitter page is visible to the public. 2/2 ^AB",random,RETURN_REFUND,0.97,False,,True,RETURN_REFUND,False,fallback-to-autolabel
78,@115850 @115821 guys don't go for Amazon sale ... I purchased I phone SE. Ear phone not working one side. Given to iStore for replacement,@353122 All warranty related services are offered by the manufacturer. Do keep us posted for additional support. ^CB,random,PRODUCT_ISSUE,0.94,False,,True,PRODUCT_ISSUE,False,fallback-to-autolabel
79,@AmazonHelp Tirns out ive beencharged twice for both. Im not trusting the seller and these are the people your link takes me to. Im looking to speak to someone at Amazon itself and not the seller please?,@743443 I'm sorry about that! Give us a call here: https://t.co/JzP7hlA23B so we can work on this with you. ^AH,random,PAYMENT_ISSUE,0.96,True,"Customer reports being double‑charged and requests direct Amazon assistance, indicating a payment dispute.",True,PAYMENT_ISSUE,True,fallback-to-autolabel
80,What's going on @116439? Nothing is working &amp; my Wi-Fi is fine.,@296906 I'm sorry you're experiencing issues! Are you receiving a specific error? Have you restarted your device? ^MV,short_message,TECHNICAL_ISSUE,0.94,False,"Standard technical problem, no legal or high‑severity indicators",True,TECHNICAL_ISSUE,False,fallback-to-autolabel
81,@116618 @143798 @115786 ummmmmm help? https://t.co/QOG7NtUFwH,"@275555 I'm sorry to hear you're having trouble with your stream. Have you tried the troubleshooting steps listed here? https://t.co/qtUUowEL6r
^LA",short_message,TECHNICAL_ISSUE,0.66,False,General help request with no signs of anger or legal threat; likely a technical assistance query.,True,TECHNICAL_ISSUE,False,fallback-to-autolabel
82,"Huhu 😂 Amazon Prime kann man nicht über die App bestellen … @116316, das ist aber echt altmodisch 👀",@385336 Danke fürs Feedback - ich gebe es an die zuständigen Kollegen weiter. ^BL,short_message,CUSTOMER_COMPLAINT,0.92,False,,True,CUSTOMER_COMPLAINT,False,fallback-to-autolabel
83,@AmazonHelp Si o no haha esque lo vi en internet 🤔🤔🤔,@270299 Si la promoción no se encuentra en nuestro sitio web la misma no está disponible. ^HC,short_message,TECHNICAL_ISSUE,0.4,True,Message is ambiguous and does not clearly match any defined intent,True,TECHNICAL_ISSUE,True,fallback-to-autolabel
